,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
387,kuching,75,MY,1562201963,100,1.56,110.34,75.2,1.43
388,cavalcante,0,BR,1562201992,46,-13.79,-47.46,61.28,1.39
389,riihimaki,0,FI,1562201992,70,60.74,24.78,50.0,12.75
390,arrifes,40,PT,1562201993,77,37.77,-25.7,68.0,6.93
391,verkhoyansk,86,RU,1562201993,63,67.55,133.39,48.5,9.66
392,benjamin constant,75,BR,1562201993,94,-4.38,-70.03,78.8,3.42
393,antofagasta,90,CL,1562201993,67,-23.65,-70.4,57.2,6.93
394,bethlehem,75,US,1562201862,83,40.62,-75.38,82.0,3.6
395,paamiut,1,GL,1562201993,80,61.99,-49.67,42.56,6.91
396,yuncheng,100,CN,1562201994,41,35.03,111.0,79.82,16.51
397,forest hills,0,ZA,1562201994,87,-29.76,30.83,51.01,1.12
398,lhokseumawe,100,ID,1562201994,71,5.18,97.15,71.0,3.24
399,santiago del estero,0,AR,1562201994,51,-27.8,-64.26,52.1,5.41
400,dalby,20,AU,1562201994,63,-27.18,151.26,64.4,24.16
401,piacabucu,0,BR,1562201995,88,-10.41,-36.43,75.68,5.5
402,baykit,0,RU,1562201995,43,61.68,96.39,68.48,3.18
403,tabou,100,CI,1562201995,92,4.42,-7.36,74.24,4.36
404,verkhnyaya inta,18,RU,1562201995,61,65.99,60.32,69.56,9.06
405,isangel,90,VU,1562201995,74,-19.55,169.27,78.8,9.17
406,czersk,12,PL,1562201996,80,53.8,17.98,52.0,7.54
407,sungaipenuh,88,ID,1562201996,82,-2.08,101.38,73.7,2.57
408,bambanglipuro,28,ID,1562201996,87,-7.95,110.28,74.24,4.38
409,atambua,3,ID,1562201996,71,-9.11,124.89,75.68,14.29
410,ormara,1,PK,1562201996,87,25.21,64.64,80.0,5.12
411,kapuskasing,75,CA,1562201997,48,49.42,-82.43,82.4,4.7
412,mirosov,0,CZ,1562201997,70,49.69,13.66,53.01,4.7
413,manta,0,RO,1562201997,93,45.1,24.1,62.0,7.23
414,muros,20,ES,1562201997,88,42.77,-9.06,64.99,2.24
415,talnakh,0,RU,1562201998,49,69.49,88.39,73.4,6.71
416,maine-soroa,92,NE,1562201998,39,13.21,12.02,91.7,5.19
417,iwanai,99,JP,1562201998,64,42.97,140.51,71.18,3.87
418,quatre cocos,1,MU,1562201704,86,-20.21,57.76,70.0,6.69
419,banda aceh,100,ID,1562201998,77,5.56,95.32,83.96,16.91
420,alice springs,0,AU,1562201999,37,-23.7,133.88,51.8,4.7
421,fort nelson,75,CA,1562201999,40,58.81,-122.69,68.0,4.7
422,kutum,54,SD,1562201999,40,14.2,24.66,81.62,6.49
423,det udom,90,TH,1562201999,83,14.9,105.08,77.0,5.82
424,pacific grove,1,US,1562201999,60,36.62,-121.92,79.0,17.22
425,curillo,29,CO,1562202000,79,1.03,-75.92,76.76,3.91
426,lewisburg,1,US,1562202000,94,40.96,-76.88,82.4,0.96
427,zilupe,0,RU,1562201767,80,56.39,28.12,47.78,9.33
428,chekmagush,0,RU,1562202000,94,55.14,54.65,55.7,8.72
429,atocha,0,AR,1562202000,81,-24.82,-65.48,51.8,3.36
430,segezha,23,RU,1562202001,97,63.74,34.31,48.68,3.74
431,bay roberts,90,CA,1562202001,87,47.58,-53.28,53.01,13.87
432,rohru,0,IN,1562202001,52,31.2,77.75,61.1,4.27
433,ayr,99,AU,1562202001,65,-19.58,147.4,75.0,5.17
434,mayna,0,RU,1562202002,75,53.0,91.49,57.68,0.6
435,shahrud,0,IR,1562202002,41,36.42,54.97,58.4,3.51
436,ahuimanu,40,US,1562202003,78,21.44,-157.84,87.8,10.29
437,lingao,61,CN,1562202003,74,19.91,109.69,83.24,7.09
438,port said,0,EG,1562202003,22,25.34,30.55,83.42,10.96
439,lalsk,25,RU,1562202003,98,60.74,47.59,49.76,5.48
440,manggar,70,ID,1562202004,87,-2.88,108.27,78.92,4.14
441,college,75,US,1562202004,44,64.86,-147.8,79.0,10.29
442,ghanzi,0,BW,1562202004,23,-21.7,21.65,45.8,2.3
443,touba,50,SN,1562202004,56,14.86,-15.88,80.0,11.39
444,asyut,0,EG,1562202005,39,27.18,31.19,82.4,11.41
445,hamilton,40,CA,1562201796,57,43.26,-79.87,82.0,4.7
446,osnabruck,0,DE,1562202005,81,52.27,8.05,55.0,2.24
447,vardo,1,US,1562202005,74,39.62,-77.74,84.2,1.3
448,campbellton,1,CA,1562202005,87,48.0,-66.68,62.72,2.17
449,sale,0,AU,1562202005,98,-38.11,147.06,48.99,2.95
450,flinders,75,AU,1562202006,100,-34.58,150.85,57.99,10.29
451,victoria falls,0,ZW,1562202006,56,-17.93,25.84,56.42,3.85
452,platteville,1,US,1562202006,83,42.73,-90.48,86.0,3.36
453,vaitape,83,PF,1562202006,75,-16.52,-151.75,76.22,31.61
454,ous,100,RU,1562202007,92,60.91,61.52,58.58,4.05
455,petropavlovsk-kamchatskiy,75,RU,1562202007,87,53.05,158.65,53.6,6.71
456,xai-xai,0,MZ,1562202007,86,-25.04,33.64,56.42,2.48
457,faridpur,75,BD,1562202007,88,23.6,89.84,82.4,11.41
458,vao,100,EE,1562202008,59,59.1,26.19,52.64,9.22
459,gamba,100,CN,1562202008,71,28.28,88.52,42.92,1.97
460,belmonte,100,PT,1562202008,58,40.36,-7.35,62.01,1.14
461,cherskiy,88,RU,1562202008,51,68.75,161.3,54.44,7.81
462,yabrud,0,SY,1562202009,68,33.97,36.66,68.0,13.87
463,gravdal,90,NO,1562202009,87,59.79,5.78,52.0,12.75
464,lexington,40,US,1562201803,94,38.05,-84.5,73.4,6.15
465,sur,31,OM,1562202009,68,22.57,59.53,82.7,6.76
466,keetmanshoop,0,NA,1562202009,30,-26.57,18.15,53.6,9.17
467,kirove,41,UA,1562202009,58,47.83,38.01,72.62,7.43
468,horta,40,BR,1562202010,78,-10.93,-37.66,80.6,6.93
469,beloha,0,MG,1562202010,86,-25.17,45.06,59.3,3.18
470,vanavara,0,RU,1562202010,48,60.35,102.28,66.32,0.81
471,anloga,99,GH,1562202010,87,5.79,0.9,76.94,11.65
472,yumen,41,CN,1562202010,14,40.29,97.04,81.26,5.61
473,lima,90,PE,1562202002,82,-12.06,-77.04,62.6,4.7
474,mathathane,0,BW,1562202011,52,-22.27,28.75,50.84,6.67
475,tynda,12,RU,1562202011,44,55.15,124.74,51.2,11.18
476,ixtapa,40,MX,1562202011,35,20.71,-105.21,87.8,11.41
477,beyneu,0,KZ,1562202011,45,45.32,55.19,76.94,6.22
478,ouadda,100,CF,1562202011,94,8.07,22.4,68.66,3.33
479,korsor,37,DK,1562202012,76,55.33,11.14,54.0,8.05
480,laem sing,100,TH,1562202012,98,12.48,102.07,87.01,16.06
481,samarai,77,PG,1562202012,75,-10.62,150.67,76.94,6.17
482,tilichiki,100,RU,1562202012,58,60.47,166.1,63.62,6.53
483,diamantino,98,BR,1562202012,49,-14.4,-56.44,79.28,4.38
484,twentynine palms,1,US,1562202013,7,34.14,-116.05,107.6,10.29
485,ranong,75,TH,1562202013,83,9.96,98.62,84.2,5.82
486,mouila,94,GA,1562202013,76,-1.86,11.06,71.0,1.54
487,panama city,1,US,1562202013,70,30.16,-85.65,87.01,10.29
488,kenmare,19,IE,1562202014,90,51.88,-9.58,51.92,3.74
489,kyren,100,RU,1562202014,92,51.68,102.13,51.38,7.4
490,xining,0,CN,1562202014,61,36.62,101.77,53.9,1.34
491,sidhi,16,IN,1562202014,81,24.41,81.88,80.9,6.11
492,esperance,25,AU,1562201936,62,-33.86,121.89,51.8,21.92
493,gediz,0,TR,1562202014,45,38.99,29.39,67.04,6.73
494,itoman,75,JP,1562202015,83,26.12,127.67,84.2,12.75
495,smithers,75,CA,1562201881,50,54.78,-127.17,75.2,9.17
496,sarankhola,85,BD,1562202015,87,22.31,89.79,81.62,2.66
497,srednekolymsk,100,RU,1562202015,45,67.46,153.71,60.2,3.98
498,mercedes,0,UY,1562202015,73,-33.25,-58.03,42.01,4.0
499,kidal,43,ML,1562202015,22,18.44,1.41,95.48,4.5
500,high level,75,CA,1562202016,52,58.52,-117.13,64.4,11.41
501,ixtahuacan,18,GT,1562202016,64,15.42,-91.77,63.0,3.0
502,lensk,43,RU,1562202016,47,60.71,114.91,58.04,3.2
503,fengrun,0,CN,1562202016,33,39.83,118.12,84.68,3.85
504,palana,29,RU,1562202016,83,59.08,159.95,47.6,16.82
505,aswan,0,EG,1562202016,20,24.09,32.9,86.0,6.93
506,khani,75,GE,1562202017,93,41.96,42.96,66.2,3.36
507,mizan teferi,100,ET,1562202017,93,6.99,35.58,60.74,3.96
508,piotrkow trybunalski,0,PL,1562202017,81,51.41,19.7,51.01,2.24
509,shingu,75,JP,1562202017,94,33.72,135.99,73.4,3.36
510,burnie,0,AU,1562202017,55,-41.05,145.91,55.0,5.99
511,plettenberg bay,0,ZA,1562201791,69,-34.05,23.37,54.26,2.08
512,aykhal,90,RU,1562202018,87,65.95,111.51,50.0,6.71
513,isla mujeres,75,MX,1562202011,74,21.23,-86.73,86.0,8.05
514,matagami,100,NG,1562202018,92,9.67,8.4,70.46,1.43
515,cortez,1,US,1562202018,10,37.35,-108.58,87.8,12.75
516,kununurra,10,AU,1562202018,16,-15.77,128.74,77.0,11.41
517,puksoozero,46,RU,1562202018,95,62.59,40.61,49.94,2.82
518,winslow,0,GB,1562202019,81,51.94,-0.88,57.2,3.36
519,vilyuysk,30,RU,1562202019,51,63.75,121.63,55.34,9.19
520,kuito,0,AO,1562202019,49,-12.38,16.94,50.66,4.07
521,tongzi,100,CN,1562202019,91,28.78,105.09,68.66,8.12
522,nelson,64,CA,1562202019,45,49.49,-117.29,66.5,5.64
523,ampanihy,0,MG,1562202020,87,-24.69,44.75,58.94,2.84
524,humberto de campos,2,BR,1562202020,89,-2.6,-43.46,76.4,5.61
525,vostok,83,RU,1562202020,63,46.45,135.83,72.08,0.74
526,vesyegonsk,100,RU,1562202020,98,58.67,37.27,52.46,7.76
527,viedma,84,AR,1562202020,61,-40.81,-62.99,41.12,16.44
528,victor harbor,75,AU,1562202021,66,-35.55,138.62,57.0,3.36
529,gidam,100,IN,1562201888,96,18.98,81.4,72.62,2.93
530,simao,76,CN,1562202021,84,22.76,100.79,70.46,1.32
531,kalmunai,98,LK,1562202021,83,7.42,81.82,74.6,1.7
532,santa marta,40,CO,1562202021,52,11.24,-74.21,89.6,4.7
533,tete,0,MZ,1562202021,82,-16.16,33.59,68.0,6.93
534,warrnambool,41,AU,1562202022,91,-38.38,142.48,55.99,1.99
535,port pirie,0,AU,1562202022,71,-33.18,138.01,55.4,4.7
536,sambava,1,MG,1562202022,91,-14.27,50.17,63.26,3.58
537,whitley bay,0,GB,1562202022,93,55.04,-1.44,55.99,4.7
538,eqbaliyeh,0,IR,1562202022,33,35.3,51.54,78.8,5.82
539,dandong,0,CN,1562202022,69,40.12,124.37,75.86,7.11
540,jaltepec,99,MX,1562202023,78,20.11,-98.42,60.02,7.0
541,carutapera,0,BR,1562202023,83,-1.2,-46.02,78.38,6.13
